"No.","Ticker","Company","Sector","Industry","Index","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","Shares Outstanding","Shares Float","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","Relative Volume","Volume","Price","Change"
514,"BUZZ","VanEck Social Sentiment ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.05,0.32%,,,,,,,,,,,,,,,,,,,,,,,7.92%,11.31%,10.02%,25.60%,5.86%,5.74%,9.51%,-9.06%,0.67,6407,15.26,2.18%
515,"BVH","Bluegreen Vacations Holding Corporation","Consumer Cyclical","Resorts & Casinos","-",618.42,9.53,6.51,0.95,0.74,2.65,3.71,,11.42,8.16,0.80,2.64%,6.20%,3.18,16.20%,0.90%,10.00%,-7.20%,837.10,59.90,15.86,15.80,2.17%,4.63,0.34,4.50%,28.50%,2.40%,,4.87,4.87,75.70%,5.60%,7.20%,-10.15%,41.18%,16.11%,21.27%,9.02%,9.61%,21.73%,-12.45%,0.46,33948,30.27,1.95%
516,"BWA","BorgWarner Inc.","Consumer Cyclical","Auto Parts","S&P 500",10775.04,11.56,8.05,0.87,0.67,1.48,11.34,23.53,31.96,4.16,0.68,1.44%,16.60%,4.08,77.80%,10.00%,7.90%,10.60%,16107.00,961.00,234.37,232.90,2.96%,3.23,6.89,5.80%,13.60%,9.40%,1.60,0.56,0.57,19.30%,8.50%,6.00%,-5.96%,12.28%,22.58%,17.19%,3.58%,0.66%,11.02%,-7.76%,0.98,2083180,47.17,0.66%
517,"BWAC","Better World Acquisition Corp.","Financial","Shell Companies","-",70.63,27.66,,,,,706.32,,-0.49,0.02,,,0.00%,0.39,223.70%,,,,,3.30,6.49,4.55,0.10%,1.15,0.00,,,,0.10,,,,,,3.22%,5.31%,6.34%,4.30%,0.97%,1.60%,4.04%,0.09%,2.05,8005,10.90,0.14%
518,"BWBBP","Bridgewater Bancshares, Inc.","Financial","Banks - Regional","-",245.54,9.94,,,1.92,1.29,,,12.05,,1.47,9.48%,0.00%,1.56,,,-0.60%,-5.10%,127.75,,2.76,,,0.75,0.00,,,,,,,,,,-28.90%,-27.84%,-39.45%,-24.39%,-0.96%,-13.42%,-25.80%,-38.43%,0.43,1325,15.50,0.65%
519,"BWFG","Bankwell Financial Group, Inc.","Financial","Banks - Regional","-",181.58,4.56,6.50,,1.30,0.72,0.64,3.20,32.07,36.32,0.80,3.45%,15.60%,5.09,42.60%,10.60%,98.70%,27.50%,139.90,38.70,7.55,6.25,2.11%,5.38,0.13,1.30%,16.50%,25.60%,,0.28,0.28,,67.80%,27.70%,-23.39%,-25.55%,-31.65%,-21.20%,1.46%,-2.56%,-18.97%,-36.86%,0.32,7855,23.19,-1.11%
520,"BWMN","Bowman Consulting Group Ltd.","Industrials","Engineering & Construction","-",394.88,101.28,21.35,,1.38,2.57,27.61,,10.78,1.00,,,0.00%,0.27,102.70%,,45.00%,-69.10%,285.40,3.40,11.80,9.69,0.86%,1.20,0.08,,,5.00%,1.80,0.23,0.35,51.50%,,,0.25%,43.26%,83.17%,27.00%,-1.91%,-2.04%,26.41%,-10.34%,0.57,39622,27.75,0.43%
521,"BWX","SPDR Bloomberg International Treasury Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.32,1.43%,,,,,,,,,,,,,,,,,,,,,,,0.59%,-0.54%,-8.88%,-0.76%,-2.48%,-2.98%,-0.50%,-10.92%,0.29,109164,22.26,0.18%
522,"BWXT","BWX Technologies, Inc.","Industrials","Aerospace & Defense","-",5669.34,23.51,19.19,8.14,2.50,7.16,123.52,,8.61,0.50,0.92,1.49%,33.90%,2.62,-19.70%,5.80%,7.10%,3.50%,2270.50,240.30,91.50,90.86,2.22%,3.72,2.01,9.00%,32.50%,13.90%,2.40,1.73,1.74,24.80%,16.10%,10.60%,-0.11%,2.21%,22.52%,6.11%,-6.00%,-3.71%,4.72%,-8.70%,1.05,569418,61.63,-1.36%
523,"BWZ","SPDR Bloomberg Short Term International Treasury Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.22,0.81%,,,,,,,,,,,,,,,,,,,,,,,-0.13%,1.55%,-4.44%,-1.68%,-1.88%,-2.18%,0.42%,-5.19%,12.53,231274,26.60,0.06%
524,"BX","Blackstone Inc.","Financial","Asset Management","-",104494.01,103.63,14.34,10.55,21.89,9.02,34.59,,9.50,2.48,3.90,4.55%,531.70%,0.83,-71.00%,3.60%,-73.00%,-93.10%,4773.20,616.60,746.07,700.29,3.07%,4.39,21.53,1.50%,8.00%,15.40%,,1.74,1.74,,17.30%,12.90%,-4.70%,-3.19%,-22.51%,15.51%,2.69%,1.14%,-3.05%,-30.14%,0.64,3153655,85.70,2.60%
525,"BXC","BlueLinx Holdings Inc.","Industrials","Industrial Distribution","-",776.70,4.35,5.97,0.17,0.20,1.25,2.06,1.75,67.42,40.76,,,0.00%,19.33,5.10%,19.60%,-38.70%,-85.30%,3945.80,180.60,9.06,8.81,5.13%,4.24,0.45,11.90%,32.00%,29.50%,4.90,0.91,0.92,17.10%,7.10%,4.60%,1.06%,23.60%,5.21%,18.34%,8.39%,15.95%,14.63%,-9.73%,0.55,58605,84.15,1.88%
526,"BXMT","Blackstone Mortgage Trust, Inc.","Real Estate","REIT - Mortgage","-",3216.84,12.78,6.94,5.89,2.02,0.70,6.24,,26.28,2.94,2.48,13.52%,159.40%,1.44,-47.30%,20.00%,109.60%,14.70%,1595.90,266.70,172.60,168.98,12.24%,6.43,20.69,1.10%,5.80%,1.00%,,4.53,4.53,34.50%,17.20%,16.70%,-13.94%,-26.20%,-39.85%,-13.37%,4.37%,3.89%,-19.31%,-41.70%,0.56,1786815,18.34,3.15%
527,"BXMX","Nuveen S&P 500 Buy-Write Income Fund","Financial","Closed-End Fund - Equity","-",1387.48,,,,61.97,1.06,,,12.57,,0.95,7.10%,,-1.78,,,6.20%,-64.90%,22.39,,104.17,104.16,0.38%,2.86,0.39,,,,,,,,,,1.06%,-2.13%,0.08%,5.30%,1.07%,1.97%,1.89%,-5.26%,0.87,120023,13.32,1.22%
528,"BXP","Boston Properties, Inc.","Real Estate","REIT - Office","S&P 500",7528.60,9.58,22.59,1.37,2.38,1.23,8.19,,38.66,5.83,3.92,8.21%,72.45%,4.98,70.10%,3.60%,6.50%,-45.60%,3157.50,782.90,156.80,156.46,5.52%,4.43,8.63,,,5.10%,,2.47,2.47,62.80%,,,-27.73%,-31.94%,-55.72%,-29.36%,-4.64%,-6.87%,-29.30%,-57.65%,0.68,1334558,47.74,0.29%
529,"BXSL","Blackstone Secured Lending Fund","Financial","Asset Management","-",4079.12,9.59,6.93,,4.39,0.98,39.60,9.92,26.11,0.65,2.80,10.92%,90.80%,2.67,-12.20%,,42.70%,36.70%,929.60,436.10,160.50,159.59,0.79%,1.48,1.25,4.40%,10.30%,5.00%,,1.30,1.30,57.20%,57.30%,46.90%,-1.27%,6.52%,4.07%,14.77%,0.54%,1.33%,5.68%,-2.66%,0.52,437549,25.65,0.55%
530,"BY","Byline Bancorp, Inc.","Financial","Banks - Regional","-",703.45,7.61,7.33,0.76,2.07,0.85,2.12,4.39,21.53,8.58,0.36,1.98%,14.80%,2.39,-2.30%,17.10%,61.80%,9.70%,339.70,89.60,36.95,22.18,4.26%,7.12,0.94,1.20%,11.70%,24.50%,,0.14,0.14,,74.60%,26.40%,-26.28%,-19.03%,-25.37%,-20.72%,1.64%,-6.44%,-17.21%,-29.96%,0.37,48388,18.21,1.56%
531,"BYD","Boyd Gaming Corporation","Consumer Cyclical","Resorts & Casinos","-",6662.05,10.27,9.63,1.00,1.82,4.07,25.28,10.11,16.03,2.58,0.64,0.98%,7.10%,6.35,44.30%,8.20%,12.00%,32.90%,3658.60,676.20,103.62,74.50,5.05%,4.04,3.76,10.90%,42.80%,16.60%,0.80,1.76,1.79,55.50%,27.30%,18.50%,1.88%,9.12%,17.34%,19.53%,-4.44%,-0.61%,9.36%,-9.08%,0.58,535626,65.18,0.32%
532,"BYLD","iShares Yield Optimized Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.89,4.11%,,,,,,,,,,,,,,,,,,,,,,,-0.21%,0.02%,-4.53%,0.35%,-0.70%,-0.82%,-0.36%,-5.25%,5.21,106410,21.75,0.18%
533,"BYM","BlackRock Municipal Income Quality Trust","Financial","Closed-End Fund - Debt","-",283.24,,,,12.19,0.82,,,13.09,,0.46,4.25%,,-0.10,,,,,23.24,,26.42,26.42,0.06%,0.26,0.02,,,,,,,,,,-3.68%,-8.14%,-11.55%,-5.55%,-3.64%,-4.37%,-6.26%,-23.86%,1.01,61416,10.72,-0.92%
534,"BYND","Beyond Meat, Inc.","Consumer Defensive","Packaged Foods","-",708.87,,,,1.76,,2.74,,-3.95,3.78,,,,-5.10,-99.60%,66.70%,-15.80%,41.70%,401.70,-324.70,64.00,58.07,43.54%,11.98,25.29,-29.50%,200.90%,-36.80%,9.10,,,-4.40%,-75.40%,-80.80%,-44.86%,-19.33%,-60.16%,-15.92%,-11.76%,-24.86%,-36.76%,-76.79%,0.99,2086988,10.35,-4.70%
535,"BYTS","BYTE Acquisition Corp.","Financial","Shell Companies","-",118.21,65.09,,,,34.93,197.02,,0.30,0.05,,,0.00%,0.16,75.30%,,,-74.80%,,6.50,36.49,2.36,3.96%,8.55,0.09,2.60%,2.70%,,0.70,0.00,0.00,,,,3.25%,5.54%,7.60%,3.97%,0.89%,2.00%,4.43%,-8.87%,0.89,9751,10.48,-0.38%
536,"BZH","Beazer Homes USA, Inc.","Consumer Cyclical","Residential Construction","-",671.86,3.20,4.76,0.80,0.29,0.63,2.79,4.13,32.87,7.46,,,0.00%,6.52,78.50%,3.90%,7.00%,-21.80%,2343.20,200.30,30.39,28.90,3.14%,3.23,0.91,9.00%,21.30%,11.40%,,0.99,0.99,21.80%,10.40%,8.50%,40.30%,52.53%,39.54%,63.17%,0.38%,16.97%,43.93%,-4.89%,0.47,133311,20.82,-1.00%
537,"BZQ","ProShares UltraShort MSCI Brazil Capped","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.14,0.87%,,,,,,,,,,,,,,,,,,,,,,,-17.57%,-23.21%,-21.83%,-19.10%,-5.90%,-13.37%,-17.64%,-52.91%,0.33,7894,16.49,-3.65%
538,"C","Citigroup Inc.","Financial","Banks - Diversified","S&P 500",88116.66,6.12,7.01,,0.97,0.46,0.08,,96.76,549.45,2.04,4.57%,28.30%,7.28,-29.90%,3.90%,123.50%,8.70%,90652.00,14224.00,1943.50,1932.75,1.56%,1.58,30.17,0.60%,7.70%,8.90%,,1.45,1.45,,49.60%,15.40%,-11.63%,-7.55%,-15.37%,-1.39%,-2.92%,-3.81%,-6.12%,-18.26%,0.62,11950120,44.60,0.84%
539,"CAC","Camden National Corporation","Financial","Banks - Regional","-",462.68,8.00,9.81,,2.48,0.98,4.86,9.09,31.90,6.42,1.68,5.38%,41.30%,3.90,-9.30%,4.90%,35.50%,-23.20%,186.70,57.20,14.57,14.13,3.58%,9.88,0.51,1.00%,12.80%,26.40%,,0.10,0.10,,78.00%,30.70%,-24.70%,-27.66%,-27.61%,-25.11%,2.41%,-6.27%,-22.88%,-36.42%,1.11,57049,31.22,1.59%
540,"CACG","ClearBridge All Cap Growth ESG ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.11,0.29%,,,,,,,,,,,,,,,,,,,,,,,10.44%,13.21%,13.46%,19.24%,3.79%,5.48%,11.06%,0.49%,0.42,14168,39.47,2.20%
541,"CADE","Cadence Bank","Financial","Banks - Regional","-",3512.38,8.46,7.01,1.69,2.00,0.81,0.69,5.58,23.70,27.86,0.94,4.91%,38.70%,2.26,59.80%,24.90%,58.50%,-32.80%,1754.80,415.40,182.46,154.70,5.30%,4.93,8.20,0.80%,9.90%,26.20%,,0.11,0.11,,78.50%,23.70%,-28.85%,-33.66%,-25.84%,-22.38%,2.52%,-3.91%,-22.77%,-34.92%,0.62,1026536,19.14,2.30%
542,"CAE","CAE Inc.","Industrials","Aerospace & Defense","-",6916.86,52.88,17.90,2.74,2.39,2.16,48.74,,10.19,0.45,,,0.00%,0.42,381.50%,4.50%,20.20%,198.50%,2890.20,132.90,317.86,317.48,0.83%,17.89,2.65,1.80%,4.30%,4.00%,1.00,0.70,0.75,27.60%,9.80%,4.60%,-2.48%,2.13%,-5.93%,14.01%,0.28%,-1.19%,7.40%,-21.00%,0.83,122731,22.05,2.04%
543,"CAF","Morgan Stanley China A Share Fund, Inc.","Financial","Closed-End Fund - Foreign","-",286.87,,,,,,,,,,0.21,1.61%,,-6.05,,,,,,,21.88,21.88,0.00%,0.04,0.00,,,,,,,,,,-9.77%,-0.46%,-10.02%,-7.68%,-3.50%,-5.50%,-8.02%,-22.93%,0.25,7029,13.11,0.38%
544,"CAG","Conagra Brands, Inc.","Consumer Defensive","Packaged Foods","S&P 500",16597.08,20.80,12.15,2.52,1.36,1.88,233.11,115.10,18.57,0.15,1.32,3.79%,76.40%,1.68,-30.80%,8.10%,5.90%,57.40%,12213.70,805.00,477.50,474.27,3.31%,3.56,15.68,3.60%,9.20%,6.30%,1.00,0.91,1.04,26.20%,10.40%,6.60%,-5.22%,-5.51%,6.32%,-9.97%,-5.25%,-6.04%,-4.11%,-15.64%,0.92,4057391,34.84,0.32%
545,"CAH","Cardinal Health, Inc.","Healthcare","Medical Distribution","S&P 500",20997.41,47.39,12.72,3.39,0.11,,5.26,5.23,-8.67,15.74,2.00,2.42%,112.30%,1.75,-260.90%,6.90%,12.60%,126.40%,198662.00,463.00,256.00,253.48,2.23%,2.57,5.64,1.10%,-26.80%,-16.70%,1.00,,,3.40%,0.30%,0.20%,7.00%,5.60%,43.45%,7.75%,-1.70%,4.00%,9.61%,-4.82%,0.88,1936479,82.83,-2.21%
546,"CAKE","The Cheesecake Factory Incorporated","Consumer Cyclical","Restaurants","-",1701.13,34.26,9.55,0.93,0.50,5.30,14.64,56.52,6.16,2.23,1.08,3.31%,111.40%,0.95,-15.70%,7.90%,9.10%,24.10%,3375.60,48.00,48.69,47.74,16.39%,7.52,7.82,1.70%,15.00%,6.50%,0.50,1.56,1.56,75.50%,1.30%,1.40%,-13.34%,-10.48%,5.53%,2.87%,-1.09%,-2.62%,-4.69%,-20.98%,0.54,564116,32.62,0.25%
547,"CAL","Caleres, Inc.","Consumer Cyclical","Footwear & Accessories","-",722.85,3.69,3.99,0.25,0.24,1.48,21.45,11.42,12.34,0.85,0.28,1.53%,5.60%,4.97,38.10%,1.30%,2.50%,27.90%,2968.10,174.00,36.30,34.35,6.74%,4.15,2.31,9.00%,44.90%,24.90%,0.90,0.00,0.73,43.30%,7.20%,5.90%,-27.75%,-26.30%,-32.70%,-17.86%,-17.62%,-17.20%,-24.71%,-41.21%,1.33,741635,18.30,-1.13%
548,"CALM","Cal-Maine Foods, Inc.","Consumer Defensive","Farm Products","-",2373.63,3.13,8.85,,0.78,1.54,3.68,4.25,31.57,13.21,5.15,10.60%,19.70%,15.55,501.50%,10.60%,108.90%,721.20%,3050.50,757.10,48.65,37.74,17.99%,6.79,6.79,44.90%,58.80%,10.00%,3.80,0.00,0.00,39.20%,32.00%,24.80%,-16.30%,-14.52%,5.79%,-10.71%,1.60%,-7.20%,-12.65%,-25.57%,0.77,771419,48.62,-1.92%
549,"CALT","Calliditas Therapeutics AB (publ)","Healthcare","Biotechnology","-",544.48,,6.71,,6.08,8.58,5.67,,2.08,3.15,,,,-1.39,21.00%,,285.10%,11.60%,89.50,-37.20,26.84,,,0.51,0.01,-23.40%,-56.10%,-28.20%,3.90,1.27,1.27,97.50%,-41.70%,-41.60%,-5.63%,14.58%,-8.28%,4.94%,-21.00%,-24.03%,-5.19%,-30.42%,0.76,8502,17.84,0.22%
550,"CALX","Calix, Inc.","Technology","Software - Application","-",3062.74,73.83,28.66,3.69,3.28,4.16,11.91,247.00,10.87,3.80,,,0.00%,0.61,-83.10%,11.20%,35.20%,16.00%,932.90,42.50,66.04,57.23,3.37%,2.98,1.93,4.90%,6.40%,5.80%,3.60,0.00,0.00,50.60%,5.60%,4.60%,-10.32%,-33.92%,26.18%,-33.86%,1.96%,-6.51%,-21.70%,-41.55%,0.58,373478,45.26,2.26%
551,"CANE","Teucrium Sugar Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62%,45.68%,37.88%,43.23%,-0.27%,8.26%,33.47%,-3.05%,1.10,114614,13.65,1.79%
552,"CAPE","DoubleLine Shiller CAPE U.S. Equities ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.22,0.99%,,,,,,,,,,,,,,,,,,,,,,,0.41%,1.37%,3.20%,7.86%,0.68%,1.39%,2.65%,-7.09%,0.49,16055,22.66,1.44%
553,"CAPL","CrossAmerica Partners LP","Energy","Oil & Gas Refining & Marketing","-",704.41,12.87,25.97,6.43,0.14,24.26,93.92,6.02,0.76,0.20,2.10,11.39%,143.90%,1.43,184.90%,18.80%,-7.00%,-131.30%,4890.40,55.30,37.94,18.20,0.40%,1.59,0.07,4.40%,119.70%,11.50%,0.70,26.98,27.08,7.70%,2.00%,1.10%,-12.65%,-7.24%,-14.39%,-7.01%,-5.28%,-10.27%,-10.11%,-20.52%,1.07,49078,18.44,1.54%
554,"CARE","Carter Bankshares, Inc.","Financial","Banks - Regional","-",350.02,6.11,6.96,,1.95,0.96,3.43,4.74,14.93,4.17,,,0.00%,2.34,69.60%,2.10%,59.00%,84.70%,179.50,56.40,23.77,23.29,0.80%,3.08,0.19,1.30%,16.90%,38.20%,,0.00,0.00,,82.70%,31.40%,-17.33%,-21.59%,-3.25%,-13.74%,5.20%,4.62%,-11.59%,-24.02%,1.43,86307,14.31,0.21%
555,"CARG","CarGurus, Inc.","Consumer Cyclical","Auto & Truck Dealerships","-",2189.15,9.73,18.52,0.63,1.50,3.15,,10.42,6.03,,,,0.00%,1.95,-8.80%,39.20%,-46.10%,126.50%,1456.40,272.00,115.36,97.88,8.81%,7.57,8.62,27.40%,44.00%,10.40%,4.40,0.00,0.00,43.30%,6.60%,18.70%,11.29%,43.79%,-20.62%,35.47%,6.09%,6.90%,16.82%,-28.99%,0.69,785016,18.98,1.28%
556,"CARR","Carrier Global Corporation","Industrials","Building Products & Equipment","S&P 500",34519.34,13.86,14.65,1.15,1.64,4.20,10.31,29.66,9.74,3.96,0.74,1.81%,22.30%,2.95,119.60%,2.80%,13.30%,-72.30%,21040.00,2528.00,835.00,826.32,2.43%,3.46,20.06,10.00%,34.00%,22.90%,1.70,1.07,1.09,26.40%,15.80%,12.00%,-9.05%,-7.40%,6.79%,-0.87%,-3.04%,-5.42%,-3.16%,-16.84%,0.83,4815826,40.89,-0.75%
557,"CARS","Cars.com Inc.","Consumer Cyclical","Auto & Truck Dealerships","-",1233.14,50.87,27.66,2.60,1.86,3.12,65.59,11.17,5.79,0.28,,,0.00%,0.35,63.30%,0.90%,5.60%,176.80%,662.70,24.30,66.53,61.30,2.69%,3.58,1.65,2.40%,6.30%,7.10%,1.30,1.14,1.18,68.50%,10.20%,3.70%,-5.20%,29.83%,84.29%,31.15%,-2.56%,-3.56%,17.05%,-11.54%,0.60,276585,18.06,1.06%
558,"CARZ","First Trust S-Network Future Vehicles & Technology ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.68,1.31%,,,,,,,,,,,,,,,,,,,,,,,8.71%,15.23%,6.28%,28.93%,7.08%,7.04%,13.51%,-1.62%,0.77,3849,52.27,3.10%
559,"CASH","Pathward Financial, Inc.","Financial","Banks - Regional","-",1254.93,10.19,7.31,,3.65,1.87,2.72,,24.88,17.09,0.20,0.43%,4.40%,4.55,20.20%,23.60%,-33.80%,-46.80%,343.90,126.40,27.08,26.79,8.86%,8.12,2.37,1.90%,18.70%,36.80%,,0.05,0.05,,85.70%,36.80%,-9.95%,4.10%,17.79%,7.80%,4.01%,7.85%,10.46%,-11.95%,0.31,89792,46.41,1.58%
560,"CASS","Cass Information Systems, Inc.","Industrials","Specialty Business Services","-",536.55,16.07,12.54,,2.72,2.45,19.09,21.63,15.99,2.06,1.16,2.96%,45.80%,2.44,26.60%,6.40%,22.50%,-14.10%,196.90,33.80,13.60,12.23,1.85%,3.79,0.23,1.30%,16.40%,4.30%,,0.00,2.44,96.70%,21.10%,17.10%,-18.50%,-9.08%,15.17%,-14.34%,4.19%,-2.47%,-6.82%,-23.76%,0.54,32248,39.25,1.11%
561,"CATC","Cambridge Bancorp","Financial","Banks - Regional","-",413.04,7.39,10.61,,2.32,0.77,4.98,,67.49,10.45,2.68,5.15%,34.97%,7.04,-5.10%,21.20%,52.50%,-16.00%,177.80,51.80,7.79,7.46,2.05%,3.24,0.15,,,23.20%,,0.00,0.00,,,,-34.28%,-41.41%,-36.86%,-37.37%,4.51%,-10.56%,-32.08%,-44.06%,0.28,13310,52.02,0.52%
562,"CATH","Global X S&P 500 Catholic Values ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.62,1.21%,,,,,,,,,,,,,,,,,,,,,,,5.77%,4.72%,5.86%,10.68%,1.66%,2.93%,6.16%,-2.54%,1.10,31508,51.49,1.34%
563,"CATY","Cathay General Bancorp","Financial","Banks - Regional","-",2280.55,5.98,6.67,0.75,2.36,0.88,1.98,5.71,35.05,15.57,1.36,4.41%,26.20%,5.16,27.20%,8.10%,66.00%,32.90%,964.70,381.60,72.53,70.39,2.65%,4.50,1.86,1.80%,15.50%,23.20%,,0.06,0.06,,78.00%,39.60%,-29.40%,-32.12%,-21.66%,-24.34%,3.71%,-4.06%,-23.11%,-34.76%,0.57,234173,30.86,0.39%
564,"CBFV","CB Financial Services, Inc.","Financial","Banks - Regional","-",97.49,7.83,6.97,0.78,1.90,0.83,0.94,7.68,22.94,20.10,1.00,5.28%,40.10%,2.42,1.80%,8.00%,34.00%,39.20%,51.30,12.40,5.11,4.57,0.15%,1.44,0.01,0.90%,11.00%,29.10%,,0.12,0.12,,79.50%,24.10%,-15.43%,-14.15%,-15.00%,-11.67%,-2.99%,-9.61%,-13.45%,-24.22%,0.24,1129,18.93,0.58%
565,"CBL","CBL & Associates Properties, Inc.","Real Estate","REIT - Retail","-",740.63,,,,1.32,1.91,16.57,10.22,11.95,1.38,1.50,6.56%,,-3.24,89.60%,-9.50%,-4.60%,100.10%,563.00,-96.00,31.01,26.85,4.93%,11.16,1.32,-23.30%,-143.30%,2.20%,,5.40,5.40,65.90%,-63.80%,,-10.34%,-14.47%,-7.97%,-0.87%,1.17%,-4.67%,-9.85%,-23.69%,0.33,39128,22.88,0.70%
566,"CBNK","Capital Bancorp, Inc.","Financial","Banks - Regional","-",244.30,5.97,7.18,,1.53,1.04,1.74,5.36,16.56,9.87,0.24,1.40%,8.20%,2.88,2.50%,21.60%,26.20%,-4.20%,159.70,41.30,14.16,8.60,0.87%,3.12,0.07,1.90%,18.80%,51.50%,,0.05,0.05,,84.20%,25.90%,-16.88%,-29.62%,-22.99%,-27.02%,4.74%,3.81%,-20.60%,-37.50%,0.65,15532,17.18,0.59%
567,"CBON","VanEck China Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.51,2.28%,,,,,,,,,,,,,,,,,,,,,,,0.50%,3.02%,-5.97%,0.25%,-0.83%,-1.06%,-0.36%,-6.17%,1.23,8394,22.19,0.19%
568,"CBRE","CBRE Group, Inc.","Real Estate","Real Estate Services","S&P 500",23346.60,21.73,13.05,1.98,0.76,2.98,18.96,23.36,25.32,3.99,,,0.00%,3.48,-20.60%,10.60%,1.10%,-68.10%,30906.40,1132.00,310.46,307.90,2.95%,4.76,9.10,5.50%,14.20%,12.60%,1.00,0.15,0.46,20.70%,3.80%,3.70%,-11.29%,-1.58%,-4.68%,-1.81%,0.87%,3.76%,-1.93%,-15.64%,0.59,1124764,75.57,0.80%
569,"CBSH","Commerce Bancshares, Inc.","Financial","Banks - Regional","-",6189.51,12.67,13.42,,5.64,2.26,2.39,17.57,21.50,20.31,1.08,2.22%,20.00%,3.84,-10.60%,5.10%,45.80%,3.10%,1096.60,485.30,124.00,116.02,2.43%,4.42,2.82,1.50%,19.10%,31.60%,,0.57,0.57,,85.30%,44.30%,-27.09%,-31.18%,-23.53%,-28.59%,-3.65%,-10.34%,-23.66%,-33.04%,0.53,336494,48.61,0.64%
570,"CBT","Cabot Corporation","Basic Materials","Specialty Chemicals","-",3953.31,12.82,10.31,1.40,0.93,3.64,19.28,91.94,19.52,3.69,1.60,2.25%,26.50%,5.54,-16.10%,9.70%,-5.40%,-30.10%,4259.00,315.00,56.30,55.92,1.73%,3.39,0.97,8.90%,32.40%,12.30%,1.90,1.00,1.24,19.90%,12.80%,7.40%,-10.36%,-3.67%,0.54%,6.36%,1.77%,-1.96%,-1.52%,-15.10%,0.77,221036,71.09,1.92%
571,"CBU","Community Bank System, Inc.","Financial","Banks - Regional","-",2704.88,18.34,14.19,2.29,5.73,1.63,11.11,,30.35,4.46,1.76,3.55%,50.08%,2.70,-0.50%,6.10%,28.90%,-87.70%,471.90,146.40,53.84,53.08,5.00%,6.61,2.66,,,22.70%,,0.00,0.00,,,,-18.36%,-23.43%,-23.34%,-21.30%,3.71%,0.22%,-16.36%,-32.00%,0.41,165515,49.54,1.83%
572,"CBZ","CBIZ, Inc.","Industrials","Specialty Business Services","-",2503.49,21.48,18.60,1.43,1.70,3.27,1088.47,20.67,15.33,0.05,,,0.00%,2.33,52.40%,10.50%,16.10%,31.30%,1474.90,120.40,50.37,47.72,1.21%,2.85,0.58,6.20%,15.90%,13.50%,1.40,0.52,0.52,16.30%,12.30%,8.20%,-1.84%,1.72%,26.89%,7.07%,-0.47%,0.25%,4.93%,-6.19%,0.69,140059,50.16,0.06%
573,"CC","The Chemours Company","Basic Materials","Specialty Chemicals","-",4298.25,9.22,5.20,0.87,0.65,3.46,5.27,22.62,8.24,5.41,1.00,3.51%,31.70%,3.09,1.30%,1.90%,-12.90%,-33.00%,6566.00,489.00,149.00,146.83,3.08%,3.96,4.52,6.40%,40.50%,13.00%,1.80,2.93,2.95,22.80%,10.30%,7.40%,-16.24%,-13.15%,-30.88%,-6.86%,-1.62%,-1.97%,-8.78%,-36.55%,1.38,1571515,28.52,1.82%
574,"CCAP","Crescent Capital BDC, Inc.","Financial","Asset Management","-",504.78,61.91,6.88,,4.34,0.69,,,19.83,,1.64,12.04%,355.69%,0.22,20.80%,,44.30%,-79.70%,116.24,,37.06,32.46,0.37%,1.09,0.12,,,,,,,,,,-12.41%,-2.92%,-20.68%,6.57%,-0.52%,-1.37%,-6.68%,-25.08%,0.64,70315,13.62,1.11%
575,"CCB","Coastal Financial Corporation","Financial","Banks - Regional","-",481.65,10.29,6.25,,2.08,1.81,1.19,4.64,19.61,29.89,,,0.00%,3.45,39.40%,43.00%,132.90%,96.90%,232.10,46.80,13.20,10.50,4.41%,7.45,0.46,1.50%,19.70%,28.40%,,0.18,0.00,,37.50%,20.20%,-21.73%,-27.41%,-6.35%,-25.25%,2.51%,1.90%,-15.57%,-34.86%,0.42,26231,35.52,1.69%
